symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
SBIN-EQ,3045,SELL,791.0,807.52,784.0,756.0,737.0,2025-05-20,18,14238.0,2025-05-21,791.0,T1_SL,0.0,0.0,1
LUPIN-EQ,10440,SELL,2011.0,2033.22,1964.0,1856.0,1678.0,2025-05-12,7,14077.0,2025-05-13,2033.22,SL,-22.220000000000027,-155.5400000000002,1
BHARTIHEXA-EQ,23489,BUY,1607.0,1558.79,1703.0,1736.0,1848.0,2025-04-17,9,14463.0,2025-04-30,1607.0,T1_SL,0.0,0.0,13
VEDL-EQ,3063,SELL,434.0,447.02,409.0,408.0,398.6,2025-05-21,34,14756.0,2025-05-26,447.02,SL,-13.019999999999982,-442.6799999999994,5
PAYTM-EQ,6705,SELL,835.0,860.0500000000001,808.0,785.0,710.0,2025-05-22,17,14195.0,2025-05-26,860.0500000000001,SL,-25.050000000000068,-425.85000000000116,4
ATGL-EQ,6066,SELL,656.0,675.6800000000001,617.0,595.0,587.0,2025-05-22,22,14432.0,2025-05-27,675.6800000000001,SL,-19.680000000000064,-432.9600000000014,5
HUDCO-EQ,20825,BUY,225.9,227.562,239.8,244.0,264.7,2025-05-16,66,14909.4,2025-05-20,227.562,SL,1.6620000000000061,109.6920000000004,4
ASTRAL-EQ,14418,BUY,1357.0,1425.9,1558.0,1588.0,1690.0,2025-05-16,11,14927.0,2025-05-19,1425.9,SL,68.90000000000009,757.900000000001,3
NTPC-EQ,11630,BUY,347.7,337.269,349.8,366.4,368.6,2025-05-20,43,14951.1,2025-05-26,347.7,T1_SL,0.0,0.0,6
ULTRACEMCO-EQ,11532,BUY,11767.0,11413.99,12473.0,12708.0,13532.0,2025-05-15,1,11767.0,2025-05-27,11413.99,SL,-353.0100000000002,-353.0100000000002,12
JINDALSTEL-EQ,6733,BUY,909.0,942.84,1030.0,1050.0,1118.0,2025-05-13,16,14544.0,2025-05-14,942.84,SL,33.84000000000003,541.4400000000005,1
KOTAKBANK-EQ,1922,SELL,2098.0,2126.9500000000003,2060.0,2054.0,1941.0,2025-05-14,7,14686.0,2025-05-22,2060.0,T2_SL,38.0,266.0,8
ZYDUSLIFE-EQ,7929,BUY,890.0,882.6999999999999,920.0,956.0,1037.0,2025-05-13,16,14240.0,2025-05-20,882.6999999999999,SL,-7.300000000000068,-116.80000000000109,7
SBICARD-EQ,17971,SELL,893.0,919.79,893.0,862.0,839.0,2025-05-22,16,14288.0,2025-05-23,893.0,T1_SL,0.0,0.0,1
IREDA-EQ,20261,BUY,169.3,170.72,171.1,178.5,181.4,2025-05-14,88,14898.400000000001,2025-05-15,170.72,SL,1.4199999999999875,124.9599999999989,1
ADANIPOWER-EQ,17388,BUY,553.0,552.9,573.0,584.0,586.0,2025-05-16,27,14931.0,2025-05-20,552.9,SL,-0.10000000000002274,-2.700000000000614,4
OIL-EQ,17438,BUY,412.8,417.1,455.8,464.4,494.5,2025-05-12,36,14860.800000000001,2025-05-13,417.1,SL,4.300000000000011,154.8000000000004,1
SJVN-EQ,18883,BUY,96.8,102.238,105.4,111.7,121.2,2025-05-13,154,14907.199999999999,2025-05-14,102.238,SL,5.438000000000002,837.4520000000003,1
COFORGE-EQ,11543,SELL,1650.0,1699.5,1551.0,1436.0,1402.0,2025-05-20,9,14850.0,2025-05-28,1699.5,SL,-49.5,-445.5,8
M&MFIN-EQ,13285,BUY,259.1,260.736,263.4,268.9,274.6,2025-05-14,57,14768.7,2025-05-15,260.736,SL,1.6359999999999673,93.25199999999813,1
PFC-EQ,14299,BUY,415.0,403.811,441.3,444.1,478.7,2025-05-13,36,14940.0,2025-05-14,403.811,SL,-11.189000000000021,-402.80400000000077,1
NAUKRI-EQ,13751,BUY,1454.0,1464.7,1454.0,1525.0,1537.0,2025-05-12,10,14540.0,2025-05-13,1464.7,SL,10.700000000000045,107.00000000000045,1
VMM-EQ,27969,SELL,121.0,123.806,120.2,116.8,113.0,2025-05-21,123,14883.0,2025-05-22,123.806,SL,-2.8059999999999974,-345.1379999999997,1
IRFC-EQ,2029,SELL,135.2,139.256,127.1,114.9,114.3,2025-05-23,110,14871.999999999998,2025-05-26,139.256,SL,-4.056000000000012,-446.1600000000013,3
UNIONBANK-EQ,10753,BUY,131.5,136.38199999999998,140.6,149.0,161.7,2025-05-14,114,14991.0,2025-05-15,136.38199999999998,SL,4.881999999999977,556.5479999999973,1
ICICIPRULI-EQ,18652,BUY,610.0,603.34,628.0,659.0,715.0,2025-05-15,24,14640.0,2025-05-28,658.0,MKT,48.0,1152.0,13
GODREJPROP-EQ,17875,BUY,2160.0,2115.57,2202.0,2312.0,2320.0,2025-05-16,6,12960.0,2025-05-19,2160.0,T1_SL,0.0,0.0,3
