symbol,token,action,breakout_level,stop_loss,target1,target2,target3,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
PRESTIGE-EQ,20302,BUY,1445.0,1488.95,1627.0,1658.0,1765.0,2025-05-23,6,8670.0,2025-05-26,1488.95,SL,43.950000000000045,263.7000000000003,3
BIOCON-EQ,11373,BUY,338.2,328.054,338.2,340.8,358.5,2025-06-03,29,9807.8,2025-06-04,338.2,T1_SL,0.0,0.0,1
SONACOMS-EQ,4684,BUY,549.0,532.53,582.0,593.0,631.0,2025-05-26,18,9882.0,2025-05-28,532.53,SL,-16.470000000000027,-296.4600000000005,2
HDFCAMC-EQ,4244,SELL,4750.0,4892.5,4465.0,4370.0,4038.0,2025-06-04,2,9500.0,2025-06-05,4892.5,SL,-142.5,-285.0,1
NHPC-EQ,17400,SELL,85.65,88.21950000000001,80.51,76.25,72.8,2025-06-03,116,9935.400000000001,2025-06-05,88.21950000000001,SL,-2.569500000000005,-298.0620000000006,2
DRREDDY-EQ,881,BUY,1241.0,1228.02,1342.0,1367.0,1456.0,2025-05-26,8,9928.0,2025-06-05,1290.6,MKT,49.59999999999991,396.7999999999993,10
HUDCO-EQ,20825,BUY,239.8,238.814,261.0,265.9,283.1,2025-05-27,41,9831.800000000001,2025-05-28,238.814,SL,-0.9860000000000184,-40.426000000000755,1
POLYCAB-EQ,9590,SELL,5910.0,6027.56,5501.0,5384.0,4974.0,2025-06-03,1,5910.0,2025-06-06,6027.56,SL,-117.5600000000004,-117.5600000000004,3
BANKBARODA-EQ,4668,BUY,243.9,243.955,251.5,266.6,289.2,2025-05-26,41,9999.9,2025-05-27,243.955,SL,0.05500000000000682,2.2550000000002797,1
LODHA-EQ,3220,BUY,1434.0,1430.75,1484.0,1564.0,1696.0,2025-05-26,6,8604.0,2025-05-27,1430.75,SL,-3.25,-19.5,1
JIOFIN-EQ,18143,BUY,283.6,282.949,299.2,309.2,335.5,2025-05-26,35,9926.0,2025-05-27,282.949,SL,-0.6510000000000105,-22.785000000000366,1
SHRIRAMFIN-EQ,4306,SELL,656.0,667.44,639.0,609.0,597.0,2025-05-21,15,9840.0,2025-05-26,667.44,SL,-11.440000000000055,-171.60000000000082,5
ICICIGI-EQ,21770,BUY,1879.0,1838.15,1918.0,2009.0,2179.0,2025-05-19,5,9395.0,2025-05-26,1838.15,SL,-40.84999999999991,-204.24999999999955,7
TECHM-EQ,13538,SELL,1568.0,1615.04,1478.0,1474.0,1333.0,2025-06-02,6,9408.0,2025-06-10,1615.04,SL,-47.039999999999964,-282.2399999999998,8
BAJAJHFL-EQ,25270,SELL,122.1,125.763,121.4,114.8,103.8,2025-05-30,81,9890.1,2025-06-02,122.1,T1_SL,0.0,0.0,3
LT-EQ,11483,BUY,3649.0,3561.84,3672.0,3697.0,3868.0,2025-05-26,2,7298.0,2025-06-02,3649.0,T1_SL,0.0,0.0,7
CUMMINSIND-EQ,1901,BUY,2964.0,3190.33,3289.0,3486.0,3782.0,2025-05-26,3,8892.0,2025-05-27,3190.33,SL,226.32999999999993,678.9899999999998,1
PFC-EQ,14299,SELL,404.1,416.223,401.8,379.9,343.5,2025-06-04,24,9698.400000000001,2025-06-06,416.223,SL,-12.12299999999999,-290.95199999999977,2
LUPIN-EQ,10440,SELL,1974.0,2005.41,1947.0,1938.0,1830.0,2025-05-27,5,9870.0,2025-05-28,1974.0,T1_SL,0.0,0.0,1
VEDL-EQ,3063,SELL,431.5,444.445,405.6,398.6,366.8,2025-06-02,23,9924.5,2025-06-06,444.445,SL,-12.944999999999993,-297.73499999999984,4
SAIL-EQ,2963,BUY,126.8,129.107,141.1,143.7,153.1,2025-05-26,78,9890.4,2025-05-27,129.107,SL,2.307000000000002,179.94600000000017,1
NAUKRI-EQ,13751,SELL,1432.0,1474.96,1406.0,1346.0,1322.0,2025-05-30,6,8592.0,2025-06-02,1432.0,T1_SL,0.0,0.0,3
HINDALCO-EQ,1363,SELL,645.0,664.35,642.0,606.0,604.0,2025-05-30,15,9675.0,2025-06-06,645.0,T1_SL,0.0,0.0,7
INDUSINDBK-EQ,5258,BUY,800.0,776.0,848.0,864.0,920.0,2025-05-26,12,9600.0,2025-06-05,803.2,MKT,3.2000000000000455,38.400000000000546,10
JINDALSTEL-EQ,6733,SELL,951.0,968.2,884.0,834.0,799.0,2025-05-27,10,9510.0,2025-05-29,968.2,SL,-17.200000000000045,-172.00000000000045,2
SJVN-EQ,18883,SELL,99.2,98.7152,90.09,86.25,81.46,2025-05-30,100,9920.0,2025-06-04,98.7152,SL,0.484800000000007,48.4800000000007,5
POWERGRID-EQ,14977,SELL,291.0,296.434,287.8,286.6,270.5,2025-06-03,34,9894.0,2025-06-05,291.0,T1_SL,0.0,0.0,2
ICICIBANK-EQ,4963,SELL,1432.0,1474.96,1428.0,1346.0,1217.0,2025-06-04,6,8592.0,2025-06-05,1432.0,T1_SL,0.0,0.0,1
TRENT-EQ,1964,BUY,5639.0,5537.73,5728.0,6052.0,6565.0,2025-05-29,1,5639.0,2025-05-30,5639.0,T1_SL,0.0,0.0,1
