symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
CANBK-EQ,10794,BUY,2025-04-15,109,9962.6,2025-04-16,96.5053,SL,5.1053,556.4776999999999,1
SUPREMEIND-EQ,3363,BUY,2025-04-28,2,7008.0,2025-04-30,3504.0,T2_SL,0.0,0.0,2
KALYANKJIL-EQ,2955,BUY,2025-04-28,19,9842.0,2025-04-30,518.0,T1_SL,0.0,0.0,2
NATIONALUM-EQ,6364,BUY,2025-04-22,61,9894.199999999999,2025-04-25,157.334,SL,-4.8659999999999854,-296.8259999999991,3
TECHM-EQ,13538,BUY,2025-04-23,7,9772.0,2025-04-24,1459.85,SL,63.84999999999991,446.94999999999936,1
MANKIND-EQ,15380,BUY,2025-04-16,4,9800.0,2025-04-25,2557.5,MKT,107.5,430.0,9
SIEMENS-EQ,3150,BUY,2025-04-28,3,8712.0,2025-04-30,2972.0,T2_SL,68.0,204.0,2
INDUSTOWER-EQ,29135,BUY,2025-04-29,24,9876.0,2025-04-30,399.155,SL,-12.345000000000027,-296.28000000000065,1
VEDL-EQ,3063,BUY,2025-04-17,24,9648.0,2025-04-21,407.109,SL,5.1089999999999804,122.61599999999953,4
NMDC-EQ,15332,BUY,2025-04-17,151,9981.099999999999,2025-04-21,66.0958,SL,-0.004199999999997317,-0.6341999999995949,4
BOSCHLTD-EQ,2181,BUY,2025-04-29,0,0.0,2025-04-30,29682.0,SL,1057.0,0.0,1
HDFCAMC-EQ,4244,BUY,2025-04-15,2,8062.0,2025-04-16,4393.13,SL,362.1300000000001,724.2600000000002,1
OIL-EQ,17438,BUY,2025-04-15,27,9749.7,2025-04-16,394.596,SL,33.49599999999998,904.3919999999995,1
UNITDSPR-EQ,10447,BUY,2025-04-28,6,9306.0,2025-04-29,1540.36,SL,-10.6400000000001,-63.8400000000006,1
NAUKRI-EQ,13751,BUY,2025-04-21,7,9534.0,2025-04-22,1382.25,SL,20.25,141.75,1
POLICYBZR-EQ,6656,BUY,2025-04-24,5,8360.0,2025-04-25,1621.84,SL,-50.16000000000008,-250.8000000000004,1
MARICO-EQ,4067,BUY,2025-04-29,13,9399.0,2025-05-02,704.22,SL,-18.779999999999973,-244.13999999999965,3
PRESTIGE-EQ,20302,BUY,2025-04-29,7,9485.0,2025-05-06,1343.45,SL,-11.549999999999955,-80.84999999999968,7
ASHOKLEY-EQ,212,BUY,2025-04-15,47,9888.800000000001,2025-04-16,218.541,SL,8.140999999999991,382.6269999999996,1
EXIDEIND-EQ,676,BUY,2025-04-28,26,9713.6,2025-04-30,362.392,SL,-11.208000000000027,-291.4080000000007,2
BHEL-EQ,438,BUY,2025-04-28,45,9985.5,2025-05-06,221.9,T1_SL,0.0,0.0,8
AXISBANK-EQ,5900,BUY,2025-04-15,9,9918.0,2025-04-16,1163.03,SL,61.02999999999997,549.2699999999998,1
NYKAA-EQ,6545,BUY,2025-04-29,50,9850.0,2025-05-07,197.0,T1_SL,0.0,0.0,8
LTF-EQ,24948,BUY,2025-04-15,63,9928.8,2025-04-16,169.459,SL,11.859000000000009,747.1170000000005,1
ITC-EQ,1660,BUY,2025-04-28,23,9871.6,2025-05-08,429.2,T1_SL,0.0,0.0,10
BAJAJFINSV-EQ,16675,BUY,2025-04-15,5,9830.0,2025-04-25,2045.5,MKT,79.5,397.5,10
COALINDIA-EQ,20374,BUY,2025-04-16,25,9975.0,2025-04-17,390.522,SL,-8.478000000000009,-211.95000000000022,1
MOTILALOFS-EQ,14947,BUY,2025-04-16,15,9600.0,2025-04-17,673.18,SL,33.17999999999995,497.69999999999925,1
BPCL-EQ,526,BUY,2025-04-28,33,9758.1,2025-05-08,306.132,SL,10.432000000000016,344.25600000000054,10
TRENT-EQ,1964,BUY,2025-04-16,2,9970.0,2025-04-17,5212.78,SL,227.77999999999975,455.5599999999995,1
HDFCLIFE-EQ,467,BUY,2025-04-30,13,9542.0,2025-05-09,711.98,SL,-22.019999999999982,-286.25999999999976,9
ALKEM-EQ,11703,BUY,2025-04-21,2,9980.0,2025-04-30,5116.0,MKT,126.0,252.0,9
LTIM-EQ,17818,BUY,2025-05-02,2,9290.0,2025-05-06,4573.55,SL,-71.44999999999982,-142.89999999999964,4
INDIANB-EQ,14309,BUY,2025-04-29,17,9996.0,2025-04-30,570.36,SL,-17.639999999999986,-299.87999999999977,1
ATGL-EQ,6066,BUY,2025-05-02,16,9760.0,2025-05-05,614.98,SL,4.980000000000018,79.68000000000029,3
SBIN-EQ,3045,BUY,2025-04-17,12,9300.0,2025-04-25,798.65,MKT,23.649999999999977,283.7999999999997,8
ZYDUSLIFE-EQ,7929,BUY,2025-04-29,11,9790.0,2025-05-07,868.15,SL,-21.850000000000023,-240.35000000000025,8
FEDERALBNK-EQ,1023,BUY,2025-04-21,50,10000.0,2025-04-23,200.0,T1_SL,0.0,0.0,2
PFC-EQ,14299,BUY,2025-04-28,23,9761.199999999999,2025-04-30,411.668,SL,-12.731999999999971,-292.83599999999933,2
SUZLON-EQ,12018,BUY,2025-04-21,179,9973.88,2025-04-30,56.4,MKT,0.6799999999999997,121.71999999999994,9
PREMIERENE-EQ,25049,BUY,2025-04-15,11,9845.0,2025-04-16,983.58,SL,88.58000000000004,974.3800000000005,1
CGPOWER-EQ,760,BUY,2025-04-15,17,9775.0,2025-04-16,633.41,SL,58.40999999999997,992.9699999999995,1
BDL-EQ,2144,BUY,2025-04-29,6,9054.0,2025-04-30,1463.73,SL,-45.26999999999998,-271.6199999999999,1
ADANIPORTS-EQ,15083,BUY,2025-04-28,8,9648.0,2025-04-29,1256.15,SL,50.15000000000009,401.2000000000007,1
JINDALSTEL-EQ,6733,BUY,2025-04-21,11,9856.0,2025-04-25,896.0,T1_SL,0.0,0.0,4
PHOENIXLTD-EQ,14552,BUY,2025-04-30,6,9960.0,2025-05-02,1610.2,SL,-49.799999999999955,-298.7999999999997,2
IRB-EQ,15313,BUY,2025-04-21,211,9995.07,2025-04-25,46.9189,SL,-0.4510999999999967,-95.18209999999931,4
