date,time,symbol,token,action,breakout_level,stop_loss,target1,target2,target3,rsi,macd,volume,level_score,level_age,close
07-05-2025,11:15:00,APLAPOLLO-EQ,25780,BUY,1647,1597.59,1647,1746,1894,67.11885309,5.98372705,41259,,,1653
08-05-2025,09:20:00,APLAPOLLO-EQ,25780,BUY,1677,1626.69,1778,1811,1929,64.72490177,1.811465845,114573,,,1688.2
12-05-2025,10:15:00,APLAPOLLO-EQ,25780,BUY,1710,1658.7,1813,1847,1966,72.2100575,17.60018356,49802,,,1729
13-05-2025,09:25:00,APLAPOLLO-EQ,25780,BUY,1732,1680.04,1732,1836,1992,69.72438113,1.368424047,41478,,,1733.1
15-05-2025,09:30:00,APLAPOLLO-EQ,25780,BUY,1750,1697.5,1855,1890,2012,73.45968332,2.336596284,27176,,,1759.2
15-04-2025,14:40:00,APOLLOHOSP-EQ,157,BUY,6871,6664.87,7283,7421,7902,60.66176991,0.995991542,82958,,,6901
16-04-2025,12:30:00,APOLLOHOSP-EQ,157,BUY,6964,6755.08,7382,7521,8009,69.85289715,10.00210324,8354,,,6993.5
17-04-2025,09:15:00,APOLLOHOSP-EQ,157,BUY,7034,6822.98,7034,7456,8089,71.56881811,4.588293304,25949,,,7043
21-04-2025,11:00:00,APOLLOHOSP-EQ,157,BUY,7092,6879.24,7518,7659,8156,74.27405236,17.85545886,4979,,,7156
26-05-2025,11:50:00,APOLLOHOSP-EQ,157,BUY,7105,6891.85,7531,7673,8171,62.70313304,1.990582696,17712,,,7110.5
12-06-2025,14:45:00,APOLLOHOSP-EQ,157,BUY,6992,6782.24,6992,7124,7412,57.8388814,-2.134838053,28721,,,7000
16-04-2025,11:25:00,APOLLOTYRE-EQ,163,BUY,440.6,427.382,440.6,467,507,68.39288607,0.766751484,19610,,,442.2
22-04-2025,10:25:00,APOLLOTYRE-EQ,163,BUY,462.4,448.528,490.1,499.4,532,64.01528395,1.152332704,43265,,,465
24-04-2025,13:40:00,APOLLOTYRE-EQ,163,BUY,467,452.99,495,504,537,71.66080102,1.255133422,51516,,,467.3
02-05-2025,10:05:00,APOLLOTYRE-EQ,163,BUY,475.3,461.041,504,513,547,69.71500253,1.226917341,138136,,,478
05-05-2025,09:15:00,APOLLOTYRE-EQ,163,BUY,480.8,466.376,510,519,553,67.11140655,0.912240175,359088,,,482.65
07-05-2025,12:55:00,APOLLOTYRE-EQ,163,BUY,491.8,477.046,521,531,566,70.25041341,1.359360769,45433,,,492.25
16-05-2025,12:50:00,APOLLOTYRE-EQ,163,BUY,490.8,476.076,490.8,504,520,55.55286653,-0.207476902,61109,,,499.3
26-05-2025,13:05:00,APOLLOTYRE-EQ,163,BUY,497.7,482.769,504,510,528,71.40781398,0.762821303,90363,,,499.6
15-04-2025,11:50:00,ASHOKLEY-EQ,212,BUY,210.4,204.088,210.4,219.6,223,60.41743073,0.387692756,226392,,,215.08
17-04-2025,14:10:00,ASHOKLEY-EQ,212,BUY,215.5,209.035,215.5,219.6,228.4,65.82309154,0.303698526,155012,,,218.56
21-04-2025,10:40:00,ASHOKLEY-EQ,212,BUY,219.6,213.012,232.8,237.2,252.5,68.26493144,0.503963575,173618,,,221.22
22-04-2025,12:50:00,ASHOKLEY-EQ,212,BUY,223.1,216.407,236.5,240.9,256.6,62.87232424,0.282009368,88844,,,224.12
23-04-2025,09:20:00,ASHOKLEY-EQ,212,BUY,225.3,218.541,225.3,238.8,259.1,66.4613411,-0.095442537,368894,,,226.13
12-05-2025,14:00:00,ASHOKLEY-EQ,212,BUY,228,221.16,233,241.7,262.2,66.66998611,0.369692477,70423,,,229.59
14-05-2025,09:30:00,ASHOKLEY-EQ,212,BUY,233,226.01,247,251.6,268,71.19646076,0.855634909,263570,,,233.97
15-05-2025,09:25:00,ASHOKLEY-EQ,212,BUY,235.9,228.823,250.1,254.8,271.3,67.87982482,0.45828469,119179,,,236.43
19-05-2025,15:20:00,ASHOKLEY-EQ,212,BUY,241.3,234.061,255.8,260.6,277.5,70.05837056,0.358757663,195614,,,241.44
16-04-2025,13:10:00,ASIANPAINT-EQ,236,BUY,2448,2374.56,2595,2644,2815,71.12577066,5.509612472,15806,,,2453.8
17-04-2025,15:05:00,ASIANPAINT-EQ,236,BUY,2468,2393.96,2468,2616,2838,58.4392999,0.429275105,70724,,,2470.7
27-05-2025,11:00:00,ASIANPAINT-EQ,236,BUY,2338,2267.86,2379,2475,2478,68.19411692,3.849237506,30795,,,2343
21-04-2025,10:05:00,ASTRAL-EQ,14418,BUY,1327,1287.19,1346,1361,1407,74.64705906,3.224781002,18366,,,1328.9
22-04-2025,09:15:00,ASTRAL-EQ,14418,BUY,1346,1305.62,1361,1427,1548,69.24546807,1.834039814,27343,,,1346.7
23-04-2025,12:30:00,ASTRAL-EQ,14418,BUY,1398,1356.06,1482,1510,1608,67.18235628,5.257295012,58383,,,1400
16-05-2025,09:35:00,ASTRAL-EQ,14418,BUY,1357,1316.29,1357,1414,1438,71.82082433,2.311938042,18623,,,1357.9
19-05-2025,10:50:00,ASTRAL-EQ,14418,BUY,1414,1371.58,1499,1527,1626,71.22805918,15.27786269,196383,,,1414.8
22-05-2025,12:05:00,ASTRAL-EQ,14418,BUY,1390,1348.3,1440,1473,1598,72.41395893,5.970552955,85024,,,1436
23-05-2025,11:25:00,ASTRAL-EQ,14418,BUY,1449,1405.53,1536,1565,1666,61.79756034,1.558141365,28874,,,1450
26-05-2025,09:15:00,ASTRAL-EQ,14418,BUY,1470,1425.9,1558,1588,1690,65.49585115,0.571294022,79124,,,1470.8
27-05-2025,12:05:00,ASTRAL-EQ,14418,BUY,1514,1468.58,1514,1605,1741,65.80789207,2.963703254,20603,,,1516.8
15-04-2025,10:55:00,ATGL-EQ,6066,BUY,601,582.97,601,637,642,69.90864581,0.627827139,32724,,,608.05
21-04-2025,14:15:00,ATGL-EQ,6066,BUY,622,603.34,622,642,659,73.63019006,1.099416626,43446,,,623.65
02-05-2025,10:10:00,ATGL-EQ,6066,BUY,610,591.7,634,647,702,68.17350372,1.975495796,19873,,,610.8
05-05-2025,10:00:00,ATGL-EQ,6066,BUY,609,590.73,634,646,700,74.29163092,5.215368823,52320,,,620.85
08-05-2025,11:30:00,ATGL-EQ,6066,BUY,634,614.98,672,684,729,63.13457315,1.217336346,20350,,,634.5
13-05-2025,09:30:00,ATGL-EQ,6066,BUY,634,614.98,672,684,729,71.11061089,1.11514944,43090,,,636.65
14-05-2025,13:50:00,ATGL-EQ,6066,BUY,656,636.32,684,695,754,63.16884086,1.002493901,16484,,,657
15-05-2025,13:35:00,ATGL-EQ,6066,BUY,658,638.26,658,684,697,61.63524631,0.787206746,11752,,,658.55
16-05-2025,09:30:00,ATGL-EQ,6066,BUY,662,642.14,684,702,761,73.27753688,4.007285005,192483,,,674.4
27-05-2025,11:25:00,ATGL-EQ,6066,BUY,676,655.72,684,690,717,70.90788135,1.604884187,18593,,,676.55
28-05-2025,10:05:00,ATGL-EQ,6066,BUY,684,663.48,684,690,725,71.10307125,1.304214985,53057,,,684.6
29-05-2025,13:15:00,ATGL-EQ,6066,BUY,678,657.66,686,690,719,65.72703284,1.874128413,21037,,,679.2
30-05-2025,14:55:00,ATGL-EQ,6066,BUY,690,669.3,731,745,793,73.27204073,0.92877161,195815,,,689.55
02-06-2025,10:00:00,ATGL-EQ,6066,BUY,693,672.21,735,748,797,69.03970643,1.757432767,70685,,,693.35
03-06-2025,09:50:00,ATGL-EQ,6066,BUY,690,669.3,695,731,793,58.91159591,-0.521479357,64406,,,691
09-06-2025,10:50:00,ATGL-EQ,6066,BUY,690,669.3,695,731,793,69.2377237,1.448366207,92174,,,690.7
10-06-2025,09:15:00,ATGL-EQ,6066,BUY,695,674.15,737,751,799,74.22239395,0.93753033,63859,,,696.5
15-04-2025,11:10:00,AUBANK-EQ,21238,BUY,566,549.02,580,600,651,69.49526555,2.384781294,49350,,,567.7
